Параметр,Значення
Сценарій,greedy
MAP_SEED,999
Раундів консенсусу,0
Втрат дронів,12
Втрат від РЕБ,8
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,2
Дронів на знищену ціль,2.0
Аукціонів проведено,0
Перекриття зон (>1 дрон),67
Фінальне покриття (%),41.4
Середній час відновлення (с),N/A
Час місії (с),155.8
