Час (с),ID дрона,Причина
15.0,4,reb
22.53,7,kamikaze
25.63,3,reb
25.93,13,reb
33.37,11,kamikaze
34.47,9,reb
47.07,14,kamikaze
59.3,10,kamikaze
82.67,2,reb
86.4,12,reb
120.17,6,reb
152.3,1,reb
