ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
2,Піхота,18.47,20.93,22.53,
4,Авто,55.73,58.2,,
8,БМП,28.63,31.1,,
11,Піхота,42.73,45.2,47.07,
