Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,14
18.0,16.2,14
20.0,17.1,14
22.0,18.6,14
24.0,20.0,13
26.0,21.0,11
28.0,21.9,11
30.0,22.9,11
32.0,24.3,11
34.0,24.8,10
36.0,25.2,9
38.0,26.2,9
40.0,26.7,9
42.0,27.6,9
44.0,27.6,9
46.0,28.1,9
48.0,28.6,8
50.0,29.0,8
52.0,30.0,8
54.0,30.0,8
56.0,31.0,8
58.0,31.4,8
60.0,31.9,7
62.0,32.9,7
64.0,32.9,7
66.0,33.8,7
68.0,33.8,7
70.0,33.8,7
72.0,35.2,7
74.0,35.2,7
76.0,36.2,7
78.0,36.7,7
80.0,36.7,7
82.0,38.1,7
84.0,38.1,6
86.0,38.6,6
88.0,39.0,5
90.0,39.5,5
92.0,39.5,5
94.0,39.5,5
96.0,40.0,5
98.0,40.0,5
100.0,40.5,5
102.0,40.5,5
104.0,40.5,5
106.0,41.0,5
108.0,41.0,5
110.0,41.4,5
112.0,41.4,5
114.0,41.4,5
116.0,41.4,5
118.0,41.4,5
120.0,41.4,5
122.0,41.4,4
124.0,41.4,4
126.0,41.4,4
128.0,41.4,4
130.0,41.4,4
132.0,41.4,4
134.0,41.4,4
136.0,41.4,4
138.0,41.4,4
140.0,41.4,4
142.0,41.4,4
144.0,41.4,4
146.0,41.4,4
148.0,41.4,4
150.0,41.4,4
152.0,41.4,4
154.0,41.4,3
