Параметр,Значення
Сценарій,swarm_only
MAP_SEED,7
Раундів консенсусу,0
Втрат дронів,11
Втрат від РЕБ,11
Втрат камікадзе (продуктивних),0
Втрат від батареї (змарнованих),0
Знищено цілей,0
Дронів на знищену ціль,N/A
Аукціонів проведено,0
Перекриття зон (>1 дрон),89
Фінальне покриття (%),97.1
Середній час відновлення (с),N/A
Час місії (с),230.5
