ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,36.67,39.13,,
1,Піхота,9.13,11.6,,
2,Піхота,130.43,132.9,,
3,Піхота,31.0,33.47,,
5,Авто,58.7,61.17,,
6,Авто,104.03,106.5,,
7,БМП,18.43,20.9,,
8,БМП,93.47,95.93,,
10,Піхота,95.83,98.3,,
11,Піхота,101.07,103.53,,
