Час (с),ID дрона,Причина
26.03,2,reb
27.53,3,reb
28.6,4,reb
31.63,7,reb
34.53,11,reb
37.77,6,reb
66.0,10,reb
91.73,0,reb
94.03,5,reb
94.3,1,reb
96.47,12,reb
