Параметр,Значення
Сценарій,leader_follower
MAP_SEED,999
Раундів консенсусу,0
Втрат дронів,11
Втрат від РЕБ,4
Втрат камікадзе (продуктивних),7
Втрат від батареї (змарнованих),0
Знищено цілей,4
Дронів на знищену ціль,1.75
Аукціонів проведено,0
Перекриття зон (>1 дрон),63
Фінальне покриття (%),32.9
Середній час відновлення (с),N/A
Час місії (с),293.6
