ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,99.17,101.63,102.57,
2,Піхота,41.23,43.7,45.43,
4,Авто,55.8,58.27,68.13,
8,БМП,174.23,176.7,193.57,
