Час (с),ID дрона,Причина
45.43,3,kamikaze
64.2,1,kamikaze
68.13,2,kamikaze
102.57,14,kamikaze
190.63,5,kamikaze
193.2,4,kamikaze
193.57,6,kamikaze
203.93,9,reb
208.97,10,reb
209.4,12,reb
210.23,13,reb
