Час (с),Ціль,ID цілі,Bid значення,Переможці
13.07,Авто,6,D0=0.58; D1=0.67; D2=0.70; D3=0.71; D4=0.61; D5=0.63; D6=0.68; D7=0.62; D8=0.70; D9=0.65; D10=0.63; D11=0.70; D12=0.70; D13=0.71; D14=0.56,"D13, D3"
19.27,Піхота,2,D0=0.51; D1=0.51; D2=0.64; D4=0.56; D5=0.63; D6=0.65; D7=0.63; D8=0.53; D9=0.56; D10=0.59; D11=0.66; D12=0.66; D14=0.46,D12
28.57,Авто,4,D0=0.52; D1=0.57; D2=0.61; D4=0.52; D5=0.57; D6=0.64; D7=0.59; D8=0.51; D9=0.48; D10=0.58; D11=0.61; D14=0.45,"D6, D11"
34.23,Піхота,10,D0=0.54; D1=0.60; D2=0.55; D5=0.51; D8=0.55; D9=0.55; D10=0.45; D14=0.53,D1
61.87,Піхота,11,D0=0.45; D2=0.37; D5=0.46; D8=0.46; D9=0.53; D10=0.45; D14=0.50,D9
63.37,Піхота,1,D0=0.47; D2=0.35; D5=0.53; D8=0.46; D10=0.52; D14=0.43,D5
