ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
1,Піхота,60.9,63.37,65.03,
2,Піхота,16.8,19.27,43.73,
4,Авто,26.1,28.57,39.1,
6,Авто,10.6,13.07,21.87,
10,Піхота,31.77,34.23,59.8,
11,Піхота,59.4,61.87,64.73,
