Час (с),ID дрона,Причина
21.07,13,kamikaze
21.87,3,kamikaze
29.8,6,kamikaze
31.43,4,reb
33.47,7,reb
39.1,11,kamikaze
43.73,12,kamikaze
59.8,1,kamikaze
64.73,9,kamikaze
65.03,5,kamikaze
73.8,8,reb
79.7,10,reb
97.33,2,reb
140.23,0,reb
