Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.3,15
16.0,13.8,15
18.0,15.7,15
20.0,17.1,15
22.0,18.1,13
24.0,20.5,13
26.0,21.0,13
28.0,22.4,13
30.0,23.8,12
32.0,25.2,11
34.0,25.7,10
36.0,26.2,10
38.0,27.1,10
40.0,27.6,9
42.0,28.1,9
44.0,29.0,8
46.0,30.0,8
48.0,31.0,8
50.0,31.9,8
52.0,32.4,8
54.0,33.3,8
56.0,34.3,8
58.0,35.2,8
60.0,35.7,7
62.0,37.1,7
64.0,37.6,7
66.0,38.1,5
68.0,38.1,5
70.0,38.6,5
72.0,38.6,5
74.0,38.6,4
76.0,39.0,4
78.0,39.0,4
80.0,40.0,3
82.0,40.0,3
84.0,40.0,3
86.0,40.5,3
88.0,40.5,3
90.0,41.0,3
92.0,41.0,3
94.0,41.0,3
96.0,41.0,3
98.0,41.0,2
100.0,41.0,2
102.0,41.0,2
104.0,41.0,2
106.0,41.0,2
108.0,41.0,2
110.0,41.0,2
112.0,41.0,2
114.0,41.0,2
116.0,41.0,2
118.0,41.0,2
120.0,41.0,2
122.0,41.0,2
124.0,41.0,2
126.0,41.0,2
128.0,41.0,2
130.0,41.0,2
132.0,41.0,2
134.0,41.0,2
136.0,41.0,2
138.0,41.0,2
140.0,41.0,2
142.0,41.0,1
144.0,41.0,1
146.0,41.0,1
148.0,41.0,1
150.0,41.0,1
152.0,41.0,1
154.0,41.0,1
156.0,41.0,1
158.0,41.4,1
160.0,41.4,1
162.0,41.4,1
164.0,41.4,1
