Час (с),ID дрона,Причина
65.0,9,reb
67.23,14,reb
70.5,8,reb
73.8,13,reb
88.0,12,reb
110.3,7,reb
122.33,11,reb
132.87,0,reb
135.57,5,reb
143.67,1,reb
146.17,6,reb
155.0,10,reb
170.3,4,reb
203.47,3,reb
210.6,2,reb
