ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,95.33,97.8,,
1,Піхота,199.0,201.47,,
2,Піхота,19.43,21.9,,
3,Піхота,120.87,123.33,,
4,Авто,24.93,27.4,,
5,Авто,103.87,106.33,,
6,Авто,57.87,60.33,,
7,БМП,56.47,58.93,,
8,БМП,116.47,118.93,,
10,Піхота,33.67,36.13,,
11,Піхота,43.37,45.83,,
