Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,11.4,15
12.0,13.8,15
14.0,14.8,15
16.0,16.2,15
18.0,18.1,15
20.0,21.0,15
22.0,22.4,15
24.0,24.3,15
26.0,25.7,15
28.0,27.1,15
30.0,29.5,15
32.0,31.4,15
34.0,33.8,15
36.0,35.7,15
38.0,37.6,15
40.0,39.5,15
42.0,41.9,15
44.0,44.3,15
46.0,47.1,15
48.0,48.6,15
50.0,49.5,15
52.0,51.9,15
54.0,54.3,15
56.0,57.1,15
58.0,59.5,15
60.0,60.5,15
62.0,62.9,15
64.0,63.3,15
66.0,64.3,14
68.0,65.2,13
70.0,65.7,13
72.0,65.7,12
74.0,66.2,11
76.0,66.7,11
78.0,67.1,11
80.0,68.6,11
82.0,68.6,11
84.0,68.6,11
86.0,70.0,11
88.0,70.5,10
90.0,70.5,10
92.0,71.0,10
94.0,71.9,10
96.0,71.9,10
98.0,72.4,10
100.0,73.3,10
102.0,73.8,10
104.0,73.8,10
106.0,74.3,10
108.0,75.2,10
110.0,76.2,10
112.0,76.7,9
114.0,77.6,9
116.0,77.6,9
118.0,79.0,9
120.0,79.5,9
122.0,80.0,9
124.0,81.0,8
126.0,81.4,8
128.0,81.9,8
130.0,82.9,8
132.0,83.3,8
134.0,83.8,7
136.0,84.3,6
138.0,84.3,6
140.0,85.2,6
142.0,85.2,6
144.0,86.2,5
146.0,86.7,5
148.0,87.1,4
150.0,87.6,4
152.0,87.6,4
154.0,88.1,4
156.0,89.0,3
158.0,89.5,3
160.0,90.0,3
162.0,90.0,3
164.0,91.4,3
166.0,91.4,3
168.0,92.4,3
170.0,92.9,3
172.0,93.3,2
174.0,93.3,2
176.0,93.3,2
178.0,93.8,2
180.0,93.8,2
182.0,94.8,2
184.0,94.8,2
186.0,94.8,2
188.0,95.2,2
190.0,95.7,2
192.0,95.7,2
194.0,96.2,2
196.0,96.7,2
198.0,96.7,2
200.0,97.1,2
202.0,97.1,2
204.0,97.1,1
206.0,97.6,1
208.0,97.6,1
210.0,98.1,1
